Model Name,OverSampling Method,Selected Features Count,Selected Features,Epochs,Class,Accuracy,Precision,Recall,F1-Score,,Class Counts Before oversampling ,Class Counts After oversampling 
BiRNN,DDIM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 82, 83, 84, 85, 86, 87]",1000,2,0.912849494,0.952442159,0.92625,0.939163498,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,DDIM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 82, 83, 84, 85, 86, 87]",1000,3,0.912849494,0.991161616,0.98125,0.986180905,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,DDIM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 82, 83, 84, 85, 86, 87]",1000,4,0.912849494,0.993742178,0.9925,0.9931207,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,DDIM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 82, 83, 84, 85, 86, 87]",1000,5,0.912849494,0.992177314,0.95125,0.971282706,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,DDIM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 82, 83, 84, 85, 86, 87]",1000,6,0.912849494,0.736401674,0.66,0.696110745,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,DDIM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 82, 83, 84, 85, 86, 87]",1000,7,0.912849494,0.953012048,0.98875,0.970552147,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,DDPM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,0,0.916418798,0.972267537,0.993333333,0.982687552,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,DDPM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,1,0.916418798,0.685434517,0.773480663,0.726800779,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,DDPM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,2,0.916418798,0.94980695,0.9225,0.935954344,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
BiRNN,DDPM,30,"[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",1000,3,0.916418798,0.992433796,0.98375,0.988072819,,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})"
